cod_mun, Longitud , Latitud 
5001, 6.29139 ,-75.53611 
5002, 5.75000 ,-75.41667 
5004, 6.66667 ,-76.08333 
5021, 6.36667 ,-75.08333 
5030, 6.05000 ,-75.70000 
5031, 7.00000 ,-74.91667 
5034, 5.58333 ,-75.91667 
5036, 6.13333 ,-75.70000 
5038, 6.86667 ,-75.33333 
5040, 7.16667 ,-75.08333 
5042, 6.55972 ,-75.82806 
5044, 6.33333 ,-75.91667 
5045, 7.88556 ,-76.63472 
5051, 8.50000 ,-76.41667 
5055, 5.73417 ,-75.14639 
5059, 6.16667 ,-75.83333 
5079, 6.45000 ,-75.33333 
5086, 6.66667 ,-75.66667 
5088, 6.33889 ,-75.56222 
5091, 5.75000 ,-75.96667 
5093, 6.20000 ,-75.91667 
5101, 5.83333 ,-76.00000 
5107, 7.11222 ,-75.55417 
5113, 6.75000 ,-75.91667 
5120, 7.66667 ,-75.33333 
5125, 6.45000 ,-75.96667 
5129, 6.08333 ,-75.63333 
5134, 7.08333 ,-75.25000 
5138, 6.75000 ,-76.00000 
5142, 6.41194 ,-74.76056 
5145, 5.58333 ,-75.58333 
5147, 7.76639 ,-76.66111 
5148, 6.08500 ,-75.33861 
5150, 6.80000 ,-75.25000 
5154, 7.91667 ,-75.00000 
5172, 7.66667 ,-76.66667 
5190, 6.58333 ,-75.08333 
5197, 6.00000 ,-75.00000 
5206, 6.41667 ,-75.25000 
5209, 6.08333 ,-75.91667 
5212, 6.33333 ,-75.50000 
5234, 7.00000 ,-76.25000 
5237, 6.50000 ,-75.33333 
5240, 6.33333 ,-75.75000 
5250, 7.59417 ,-74.81194 
5264, 6.58333 ,-75.58333 
5266, 6.17306 ,-75.56389 
5282, 5.91667 ,-75.66667 
5284, 6.66667 ,-76.33333 
5306, 6.66667 ,-75.91667 
5308, 6.41667 ,-75.45000 
5310, 6.75000 ,-75.83333 
5313, 6.16667 ,-75.13333 
5315, 6.81750 ,-75.24417 
5318, 6.25000 ,-75.41667 
5321, 6.25000 ,-75.16667 
5347, 6.23333 ,-75.75000 
5353, 5.80250 ,-75.91167 
5360, 6.17194 ,-75.61139 
5361, 7.25000 ,-76.00000 
5364, 5.58333 ,-75.83333 
5368, 5.75000 ,-75.75000 
5376, 6.00000 ,-75.41667 
5380, 6.16667 ,-75.66667 
5390, 5.75000 ,-75.60000 
5400, 5.91667 ,-75.33333 
5411, 6.75000 ,-75.75000 
5425, 6.50000 ,-74.75000 
5440, 6.20000 ,-75.30000 
5467, 5.91667 ,-75.50000 
5475, 6.80000 ,-76.80000 
5480, 7.33333 ,-76.50000 
5483, 5.60000 ,-75.16667 
5490, 8.42389 ,-76.79111 
5495, 8.09639 ,-74.77583 
5501, 6.66667 ,-75.75000 
5541, 6.25000 ,-75.25000 
5543, 7.00000 ,-75.83333 
5576, 5.80000 ,-75.85000 
5579, 6.41667 ,-74.50000 
5585, 6.19167 ,-74.58667 
5591, 5.87083 ,-74.64556 
5604, 7.00000 ,-74.41667 
5607, 6.08333 ,-75.50000 
5615, 6.16667 ,-75.41667 
5628, 6.91667 ,-75.80000 
5631, 6.15000 ,-75.60000 
5642, 6.00000 ,-76.00000 
5647, 6.91700 ,-75.66700 
5649, 6.20000 ,-74.91667 
5652, 6.11667 ,-75.98333 
5656, 6.45000 ,-75.70000 
5658, 6.85028 ,-75.68333 
5659, 8.76306 ,-76.53000 
5660, 6.00000 ,-74.83333 
5664, 6.45000 ,-75.58333 
5665, 8.27611 ,-76.37861 
5667, 6.30000 ,-75.00000 
5670, 6.41667 ,-74.83333 
5674, 6.33333 ,-75.33333 
5679, 5.86667 ,-75.58333 
5686, 6.66667 ,-75.41667 
5690, 6.47222 ,-75.16472 
5697, 6.13333 ,-75.25000 
5736, 7.25000 ,-74.75000 
5756, 5.75000 ,-75.00000 
5761, 6.50000 ,-75.75000 
5789, 5.66667 ,-75.66667 
5790, 7.58333 ,-75.35000 
5792, 5.83333 ,-75.83333 
5809, 6.08333 ,-75.80000 
5819, 7.00000 ,-75.70000 
5837, 8.00000 ,-76.58333 
5842, 6.89944 ,-76.17417 
5847, 6.33333 ,-76.41667 
5854, 7.33333 ,-75.33333 
5856, 5.66667 ,-75.58333 
5858, 6.77306 ,-74.80167 
5861, 5.91667 ,-75.75000 
5873, 6.59194 ,-76.89861 
5885, 6.83333 ,-74.75000 
5887, 7.00000 ,-75.50000 
5890, 6.66667 ,-75.00000 
5893, 7.00778 ,-73.91417 
5895, 7.75000 ,-74.75000 
8001, 10.96389 ,-74.79639 
8078, 10.80000 ,-74.91667 
8137, 10.41667 ,-74.91667 
8141, 10.50000 ,-74.83333 
8296, 10.91667 ,-74.83333 
8372, 10.83333 ,-75.03333 
8421, 10.61417 ,-75.14611 
8433, 10.85889 ,-74.77306 
8436, 10.50000 ,-75.00000 
8520, 10.74667 ,-74.75556 
8549, 10.75000 ,-75.13333 
8558, 10.75000 ,-74.78333 
8560, 10.64361 ,-74.75444 
8573, 11.01667 ,-74.88333 
8606, 10.55000 ,-75.13333 
8634, 10.80000 ,-74.75000 
8638, 10.63333 ,-74.83333 
8675, 10.32861 ,-74.96444 
8685, 10.75000 ,-74.83333 
8758, 10.91722 ,-74.76667 
8770, 10.33333 ,-74.91667 
8832, 10.91667 ,-74.95000 
8849, 10.75000 ,-74.96667 
11001, 4.60000 ,-74.08333 
13001, 10.39972 ,-75.51444 
13006, 8.25000 ,-74.50000 
13030, 8.79444 ,-74.16583 
13042, 8.46667 ,-73.95000 
13052, 10.16667 ,-75.33333 
13062, 10.24972 ,-75.01139 
13074, 8.83333 ,-74.16667 
13140, 10.25000 ,-75.00000 
13160, 7.37917 ,-73.91806 
13188, 9.41667 ,-74.73333 
13212, 9.50000 ,-74.91667 
13222, 10.58917 ,-75.33417 
13244, 9.75000 ,-75.16667 
13248, 10.08333 ,-74.91667 
13268, 8.98333 ,-73.95000 
13300, 8.95861 ,-74.08083 
13430, 9.24139 ,-74.75333 
13433, 10.16667 ,-75.16667 
13440, 9.08333 ,-74.20000 
13442, 10.00000 ,-75.33333 
13458, 8.29944 ,-74.47556 
13468, 9.25000 ,-74.58333 
13473, 8.41667 ,-74.00000 
13490, 8.53333 ,-74.03333 
13549, 8.91722 ,-74.46639 
13580, 8.66667 ,-73.83333 
13600, 8.59000 ,-73.84361 
13620, 9.88333 ,-75.25000 
13647, 10.39833 ,-75.15111 
13650, 9.08333 ,-74.33333 
13654, 9.83333 ,-75.08333 
13655, 9.83167 ,-75.12639 
13657, 9.95667 ,-75.08667 
13667, 8.83333 ,-73.91667 
13670, 10.05278 ,-75.26806 
13673, 10.58333 ,-75.25000 
13683, 10.45000 ,-75.33333 
13688, 7.96444 ,-74.05444 
13744, 7.58333 ,-74.16667 
13760, 10.33333 ,-75.10000 
13780, 9.30694 ,-74.56861 
13810, 8.55972 ,-74.26694 
13836, 10.35000 ,-75.33333 
13838, 10.25000 ,-75.41667 
13873, 10.45000 ,-75.25000 
13894, 9.75000 ,-74.83333 
15001, 5.53528 ,-73.36778 
15022, 4.91667 ,-73.33333 
15047, 5.51972 ,-72.88750 
15051, 5.80000 ,-73.38333 
15087, 6.08333 ,-72.91667 
15090, 5.33333 ,-73.00000 
15092, 6.00000 ,-72.83333 
15097, 6.41667 ,-72.58333 
15104, 5.50000 ,-72.50000 
15106, 5.75000 ,-73.83333 
15109, 5.50000 ,-73.96667 
15114, 5.91667 ,-72.85000 
15131, 5.55000 ,-73.88333 
15135, 5.08333 ,-73.00000 
15162, 6.00000 ,-72.91667 
15172, 5.25000 ,-73.33333 
15176, 5.63333 ,-73.75000 
15180, 6.75000 ,-72.33333 
15183, 6.16667 ,-72.41667 
15185, 6.08333 ,-73.36667 
15187, 5.53333 ,-73.26667 
15189, 5.46667 ,-73.25000 
15204, 5.75000 ,-73.25000 
15212, 5.43333 ,-74.03333 
15215, 5.86667 ,-72.83333 
15218, 6.58333 ,-72.70000 
15223, 7.04111 ,-72.06083 
15224, 5.53333 ,-73.46667 
15226, 5.65000 ,-72.91667 
15232, 5.60833 ,-73.48861 
15236, 4.88556 ,-73.36889 
15238, 5.82694 ,-73.02028 
15244, 6.41667 ,-72.41667 
15248, 6.58333 ,-72.41667 
15272, 5.75000 ,-72.96667 
15276, 5.91667 ,-72.91667 
15293, 5.75000 ,-73.50000 
15296, 5.85000 ,-72.75000 
15299, 5.13333 ,-73.30000 
15317, 6.50000 ,-72.50000 
15322, 5.08333 ,-73.50000 
15325, 5.00000 ,-73.50000 
15332, 6.75000 ,-72.16667 
15362, 5.66667 ,-72.91667 
15367, 5.38889 ,-73.36806 
15368, 6.20000 ,-72.58333 
15377, 5.58333 ,-72.58333 
15380, 5.15000 ,-73.45000 
15401, 5.52583 ,-74.23611 
15403, 6.33333 ,-72.50000 
15407, 5.63333 ,-73.53333 
15425, 4.91667 ,-73.25000 
15442, 5.58333 ,-74.00000 
15455, 5.25000 ,-73.16667 
15464, 5.83333 ,-72.66667 
15466, 5.75000 ,-72.83333 
